scenario,n,rep,Khat,Z,scaled_exp,c_oracle,c_feasible,cover_oracle95,median_above_oracle,cover_feasible95,median_above_feasible
endpoint_baseline,10000,115,0.9977417422354486,22.582577645513524,1.2710814761227764,0.05617764649828218,,True,False,,
endpoint_baseline,10000,116,0.997022479238599,29.775207614010093,1.675925372203783,0.056550001769280225,0.0591488745471156,True,False,True,False
endpoint_baseline,10000,117,0.9995429682664323,4.570317335677032,0.25724458016137935,0.0568845083350008,,True,True,,
endpoint_baseline,10000,118,0.9992965610180492,7.034389819507991,0.39593720149035383,0.0566976642466212,0.06042748198460723,True,True,True,True
endpoint_baseline,10000,119,0.9990419086688739,9.580913311261208,0.5392706548139193,0.05659999563242619,,True,True,,
endpoint_baseline,10000,120,0.9968039458248719,31.96054175128138,1.7989289453400026,0.0563694940726757,0.05685932526302212,True,False,True,False
endpoint_baseline,10000,121,0.9974107985901108,25.892014098891636,1.4573561980932375,0.056481832284776906,,True,False,,
endpoint_baseline,10000,122,0.9995564138876373,4.4358611236272605,0.24967658667680676,0.056337388102114604,0.05543453388077089,True,True,True,True
endpoint_baseline,10000,123,0.999085196366783,9.14803633217054,0.5149057697153643,0.05607925116834364,,True,True,,
endpoint_baseline,10000,124,0.999912870964291,0.8712903570895492,0.04904139158095392,0.056410822192175844,0.05579360403950893,True,True,True,True
endpoint_baseline,10000,125,0.9993317373260608,6.682626739391573,0.37613788796031933,0.05583198213390019,,True,True,,
endpoint_baseline,10000,126,0.999060113157954,9.398868420460449,0.5290240880954558,0.055993744750897106,0.05413858151421437,True,True,True,True
endpoint_baseline,10000,127,0.9997037799740516,2.962200259484238,0.16673020845981804,0.05619925245013466,,True,True,,
endpoint_baseline,10000,128,0.9992046682431767,7.9533175682333646,0.4476599081554223,0.056343718528066494,0.05559191089263029,True,True,True,True
endpoint_baseline,10000,129,0.995662569314897,43.3743068510295,2.4413633750512953,0.05653229663673869,,True,False,,
endpoint_baseline,10000,130,0.9999060766806593,0.9392331934066078,0.05286561758533179,0.05579313262739863,0.05314233303845041,True,True,True,True
endpoint_baseline,10000,131,0.997630668751817,23.693312481829487,1.3336002238710423,0.05593082224214375,,True,False,,
endpoint_baseline,10000,132,0.9973149450647719,26.850549352280815,1.511308250153853,0.05560816580708412,0.05091556160094821,True,False,True,False
endpoint_baseline,10000,133,0.9993465220263053,6.534779736947494,0.36781618133068295,0.056629381326341474,,True,True,,
endpoint_baseline,10000,134,0.9956228367201225,43.77163279877472,2.463727237143992,0.055996902686755154,0.05530567832107667,True,False,True,False
endpoint_baseline,10000,135,0.9987814689047779,12.185310952220751,0.6858616086831385,0.05640514840807452,,True,True,,
endpoint_baseline,10000,136,0.9995677774314417,4.322225685583492,0.24328050990488753,0.05650912785452861,0.05669383207475204,True,True,True,True
