vm_id,n,mean,sd,maximum,zero_fraction,lag1,half_mean_diff,q_hat,gamma_hat,beta1_hat,q_face,gamma_face,lr_gamma0,mixture_p,pit_mean,pit_var,pit_lag1,cdf_distance,tear_log_density,ind_log_density,beta_log_density,tear_mae,ind_mae,beta_mae,tear_rmse,ind_rmse,beta_rmse
709,340,0.2524187675070028,0.4020694558591255,0.9584999999999999,0.0,0.6810643550100615,0.06508221288515409,1e-06,10.393290358613893,10.393291358613892,True,False,400.9639020917357,1.698540524825666e-89,0.29757740749516376,0.17968886627935174,0.6254707835876935,0.6637072001824614,0.7925330252663371,0.3273979175362138,1.8929343545142805,0.2452434330296198,0.3449925523810298,0.2621097077453086,0.33263012533791697,0.3935637368954256,0.3072738871572735
710,318,0.2676761942198263,0.41050719468374214,0.9481666666666666,0.0,0.7161419115606915,0.0677577493261455,1e-06,10.77345505746286,10.773456057462859,True,False,408.66127047827126,3.5851279225987235e-91,0.31473515684095116,0.1771696695433781,0.6575137514033764,0.6129527349785648,0.9933050546500946,0.3129545489676577,1.8654477314533011,0.2460368247155528,0.3725206528631586,0.25219492302936936,0.33101953643223603,0.4152473515777067,0.29619262898927984
711,340,0.24540490196078432,0.40582750448648597,0.9603333333333336,0.0,0.693246524445083,0.06566078431372546,1e-06,11.470417083641607,11.470418083641606,True,False,441.4729393957165,2.5873134545110153e-98,0.28354736770616856,0.17133450566645891,0.6327246621424515,0.6638969571146279,1.0364578198187306,0.3547341680078611,2.0694602664227015,0.23599850314554516,0.35629848690323773,0.2618036924611615,0.33138013775486136,0.41397885940052204,0.3094129112098545
712,340,0.22781771708683474,0.39055236007746397,0.9541666666666666,0.0,0.7080865503190328,0.003988375350140044,1e-06,12.465695529172883,12.465696529172883,True,False,455.52821867619366,2.2594792218173693e-101,0.27830075660087344,0.16048622628765385,0.6431301846993999,0.6404496914713846,1.0451523228158726,0.42599594916569916,1.9671024882132382,0.22091064428382484,0.33191917826534534,0.2385297634885759,0.3211563399574373,0.3923738101425542,0.29083876270898407
713,315,0.2092915343915344,0.37520625625516224,0.9356666666666666,0.0,0.739759929972246,0.0027209277325377923,1e-06,14.807064299034163,14.807065299034162,True,False,467.9757366266448,4.418096883280882e-104,0.2667129247109851,0.15019797689914952,0.6799923002933118,0.6438018310254768,1.238964860204306,0.5654648592983067,2.0924282919843806,0.20327576307280162,0.3105837769393885,0.21341212712718602,0.308843098455887,0.3759985547559099,0.27184600978758666
714,340,0.13175931372549018,0.31704090574811833,0.9515,0.0,0.7083031960167238,0.08987156862745099,1e-06,21.585167966003752,21.585168966003753,True,False,525.0260674338671,1.7062174423229347e-116,0.19614612994988442,0.110897721848296,0.6328994756002753,0.7678318287828717,1.1307921315722442,0.06487439299519018,2.237142501169214,0.19250530265881263,0.26108664465548703,0.22117280885887186,0.3238013816066955,0.40333318157887804,0.2856725741098684
715,340,0.12943522408963584,0.3168325354371005,0.9541666666666666,0.0,0.7044837367545478,0.08621190476190477,1e-06,22.17373238769682,22.17373338769682,True,False,531.3671747229301,7.120053816069637e-118,0.19492187759415128,0.10610394333143959,0.6279636383399604,0.7227380386035761,1.172141351278819,0.15099702366020762,2.27412035675955,0.1860555266339678,0.25568524115993835,0.21294437226254043,0.32048922075619957,0.40100684223775734,0.28163993083069594
716,340,0.12890261437908496,0.316777075108299,0.9590000000000001,0.0,0.6970507663674014,0.0853183006535948,1e-06,21.875353374006895,21.875354374006896,True,False,521.7984532391138,8.594801793332721e-116,0.189879303980356,0.10640929509896235,0.6205007972241368,0.7670348396366605,1.180843338425169,0.12265253472948527,2.28779206712944,0.18633571943322902,0.25616070492895016,0.21919983425293457,0.32022113757798576,0.4037016295221648,0.28779313312043997
718,340,0.1560110644257703,0.10962778524151298,0.825,0.0,0.20418125910518353,0.0019044817927170998,1.1545729172455168,6.225213750617243,7.37978666786276,False,False,5.708740052867483,0.008440325398823589,0.5837397973218711,0.013339848894224165,-0.017222333381139633,0.46850444090621995,0.8767908714593566,0.8860986608656243,1.1381017447605855,0.0567398412312279,0.05823963765385769,0.06206256901894828,0.10899473518278936,0.1048266802758919,0.10771325769084764
723,340,0.37878697478991596,0.21095674843224818,0.6276666666666667,0.0,0.03440381425284746,0.02765350140056022,1.217659994197157,0.46279161154840004,1.6804516057455572,False,False,0.23951730186853837,0.31227748115757276,0.5196780061418305,0.06683409518171617,0.06082762700063984,0.21754409083305715,0.0799090646421989,0.07921250848615652,0.17968067578150837,0.19205150911180782,0.19209530426231933,0.19249355594135936,0.21208047980388148,0.2123191622443453,0.2110391323873971
